uri,subtitle,tags,url,uid,shared,type
solar kitchen,Solar kitchen in Tamera's solar test field,"engineering,life,solarpunk",https://www.tamera.org/solar-kitchen/,72,2020-4-26,
gears,Bartosz Ciechanowski is fascinated by gears,"engineering,interactive,tech",https://ciechanow.ski/gears/,71,2020-4-26,
w3c css,W3C has core stylesheets since 1998,"design,web",https://www.w3.org/StyleSheets/Core/Overview,70,2020-4-26,
mvp css,Semantic css with no class names,"design,web",https://github.com/andybrewer/mvp,69,2020-4-26,
ZDog,Round-flat design API,"design,tech,web",https://zzz.dog/,68,2020-4-26,
Obvious Design,The obvious UI is often the best one,"design,tech",https://medium.com/google-design/the-obvious-ui-is-often-the-best-ui-7a25597d79fd,67,2020-4-26,
Hot and Cold Media,Video has more information than text,"design,tech",https://alexdanco.com/2019/10/17/the-audio-revolution/,66,2020-4-26,
Bullet Charts,Effective visualization that's easy to build,"design,tech",https://www.atyantik.com/bullet-charts-what-is-it-and-how-to-use-it/,65,2020-4-26,
Ishikawa Diagram,Causal diagrams created by Kaoru Ishikawa,"design,science",https://en.wikipedia.org/wiki/Ishikawa_diagram,64,2020-4-26,
Atlassian Design,Design guidelines by atlassian,"design,home,web",https://atlassian.design/guidelines/product/overview,63,2020-4-26,
Marc Levoy Lectures,Digital photography lectures,"design,home",https://sites.google.com/site/marclevoylectures/,62,2020-4-26,
GMUNK,"Designer, Director","design,graphics,tech",https://gmunk.com,61,2020-4-26,
606,"Vitsoe, Dieter Rams universal shelving system","design,engineering,gear,tech",https://www.vitsoe.com/us/606,60,2020-4-26,
Recutils,Human editable plain text databases,"db,tech,nix",https://www.gnu.org/software/recutils/,59,2020-4-26,
Announcing MessageDB,Message based database system,"db,tech",https://blog.eventide-project.org/articles/announcing-message-db/,58,2020-4-26,
SU Relational Data,Stanford course notes on relational data,"db,tech",http://infolab.stanford.edu/~ullman/focs/ch08.pdf,57,2020-4-26,
blur hash,Blurry image icons you can store in a table,"db,tech",https://blurha.sh,56,2020-4-26,
Oscean,Oscean is a flat file wiki engine.,"db,solarpunk,tech",https://wiki.xxiivv.com/site/oscean.html,55,2020-4-26,
EdgeDB,We can do better than SQL,"db,lang,tech",https://edgedb.com/blog/we-can-do-better-than-sql/,54,2020-4-26,
sqlite,local data storage for individuals,"db,home,tech",https://www.sqlite.org/whentouse.html,53,2020-4-26,
Notion,All in one workspace,"db,home,tech",https://www.notion.so/product,52,2020-4-26,
open flight data,HN discussion (cool global data collection),"data,tech",https://news.ycombinator.com/item?id=22360940,51,2020-4-26,
open refine,Data refinement tool,"data,tech",https://openrefine.org,50,2020-4-26,
tesla patents,Tesla's patents by grant date,"data,science",http://web.mit.edu/most/Public/Tesla1/grant_tesla.html,49,2020-4-26,
public domain data,Public domain resources by ameyama,"data,home",https://ameyama.com/pd-resources,48,2020-4-26,
open peeps,illustrated people library,"data,graphics,home",https://www.openpeeps.com/,47,2020-4-26,
smithsonian images,Millions of images released to public domain,"data,graphics",https://www.smithsonianmag.com/smithsonian-institution/smithsonian-releases-28-million-images-public-domain-180974263/,46,2020-4-26,
suncoast lumber,Lumber supplier in Sechelt,"craft,home",https://www.suncoastlumber.com/products,45,2020-4-26,
OSS Seeds,Open source seed directory,"community,tech",https://osseeds.org/,44,2020-4-26,
No-Commute Imperative,We need to adopt a non-commute culture,"community,life,work",https://www.irishtimes.com/business/innovation/chris-horn-we-need-to-adopt-a-no-commute-culture-1.4110977,43,2020-4-26,
Dynamic Land,a new computational medium for society,"community,life,tech",https://dynamicland.org/,42,2020-4-26,
Daybreaker,Wake up and dance with your community,"community,life",https://www.daybreaker.com/,41,2020-4-26,
trends in remote work,remote work is growing,"community,home,life,tech,work",https://www.yac.chat/blog/the-shifting-state-of-remote-work,40,2020-4-26,
Compositing Guide,A guide to alpha compositing,"color,math",https://ciechanow.ski/alpha-compositing/,39,2020-4-26,
Stripe - Color Systems,Accessible color systems post from stripe,"color,design,tech",https://stripe.com/en-ca/blog/accessible-color-systems,38,2020-4-26,
cloud native landscape,cloud native computing foundation products,"cloud,tech",https://landscape.cncf.io,37,2020-4-26,
Let's Destroy C,Macro hacks that make C look high level,"c,tech",https://gist.github.com/shakna-israel/4fd31ee469274aa49f8f9793c3e71163#lets-destroy-c,36,2020-4-26,
Encapsulation in C,Proper encapsulation example in C,"c,tech",https://alastairs-place.net/blog/2013/06/03/encapsulation-in-c/,35,2020-4-26,
c++20 text formatting,text formatting like python,"c,tech",https://www.bfilipek.com/2020/02/extra-format-cpp20.html,34,2020-4-26,
selfie,"Tiny c compiler, emulator, hypervisor","c,tech",http://selfie.cs.uni-salzburg.at/,33,2020-4-26,
Hacking Clang,Implementing fat arrow funcs and lambdas,"c,tech",https://mort.coffee/home/clang-compiler-hacking/,32,2020-4-26,
c python bindings,HN discussion (see: ctypes),"c,python,tech",https://news.ycombinator.com/item?id=22365166,31,2020-4-26,
cppreference,html archive of cppreference.com,"c,offline,tech",https://en.cppreference.com/w/File:html_book_20190607.zip,30,2020-4-26,
glibc,gnu c library docs with offline downloads,"c,offline,tech",https://www.gnu.org/software/libc/manual/,29,2020-4-26,
ctoy,dependency free c99 opengl/openal c playground,"c,home,tech",https://github.com/anael-seghezzi/CToy,28,2020-4-26,
Wart Layers,Actually about organizing your C code,"c,home,tech",http://akkartik.name/post/wart-layers,27,2020-4-26,
sqlite c intro,intro to using sqlite in c code,"c,home,tech",http://zetcode.com/db/sqlitec/,26,2020-4-26,
linux from scratch,learn how linux works by building stuff,"c,home,nix,tech",http://linuxfromscratch.org/lfs/downloads/stable/LFS-BOOK-9.0-NOCHUNKS.html,25,2020-4-26,
c4,c in 4 functions - minimalist compiler,"c,home,lang,tech",https://github.com/rswier/c4,24,2020-4-26,
Write an Alsa Driver,On writing your own ALSA drivers,"c,home",https://www.kernel.org/doc/html/v4.17/sound/kernel-api/writing-an-alsa-driver.html,23,2020-4-26,
songho: gl pbo,GL Pixel Buffer Objects,"c,home",http://www.songho.ca/opengl/gl_pbo.html,22,2020-4-26,
tiny c games,tiny ready to compile c games,c,https://github.com/superjer/tinyc.games,21,2020-4-26,
25 programming books,25 most recommended books scraped online,"books,tech",https://www.daolf.com/posts/best-programming-books/,20,2020-4-26,
sql antipatterns,database programming with Bill Karwin,"books,sql,tech",https://pragprog.com/book/bksqla/sql-antipatterns,19,2020-4-26,
one straw revolution,"Masanobu Fukuoka on farming, eating, ecology","books,permaculture",https://play.google.com/store/books/details?id=3Uo1tTcpDmkC,18,2020-4-26,
Dad is Cool,Book recommended to me about fatherhood,"books,life",https://www.amazon.com/Dad-cool-Marcos-Piangers-ebook/dp/B0191QL9DU,17,2020-4-26,
The Ebbing Language,Poetic reflection on language,books,https://www.poetryfoundation.org/poetrymagazine/articles/150735/the-ebbing-language,16,2020-4-26,
how to create a mind,Ray Kurzweil's rational view of the mind,books,https://books.google.ca/books?id=FCcXiBPurdEC,15,2020-4-26,
godel escher bach,What do they have in common?,books,https://books.google.ca/books?id=grzEQgAACAAJ,14,2020-4-26,
moonwalking w einstein,The art and science of remembering everything,books,https://www.gatesnotes.com/Books/Moonwalking-with-Einstein,13,2020-4-26,
pragmatic programmer,Highly recommended book on programming,books,https://www.amazon.ca/Pragmatic-Programmer-journey-mastery-Anniversary/dp/0135957052/,12,2020-4-26,
frank chimero,"brief thoughts on design, writing, music...","blog,tech",https://frankchimero.com/blog/,11,2020-4-26,
daniel grey,"he shares links, designs book covers","blog,tech",http://danielgray.com/links,10,2020-4-26,
solo dev year 2,Second year as a solo developer retrospective,"blog,community,tech",https://mtlynch.io/solo-developer-year-2/,9,2020-4-26,
pxltrm,pixel art editor inside the terminal,"bash,graphics,nix,tech",https://github.com/dylanaraps/pxltrm,8,2020-4-26,
overtone,collaborative programmable music,"audio,home,tech",https://overtone.github.io/,7,2020-4-26,
nestdrop,Audio visualization in real time via milkdrop,audio,http://nestimmersion.ca/nestdrop.html,6,2020-4-26,
spectro,webgl fft visualizer,audio,https://github.com/calebj0seph/spectro/blob/master/docs/making-of.md,5,2020-4-26,
midi 2.0 vote,midi 2.0 voted in by manufacturers,audio,https://www.engadget.com/2020/01/29/midi-2-0-bidirectional-profiles-property-exchange/,4,2020-4-26,
Seaboard Keyboard,Midi polyphonic expression keyboard,audio,https://roli.com/products/seaboard,3,2020-4-26,
copyrighted melodies,Two artists copyrighted all melodies,audio,https://www.vice.com/en_us/article/wxepzw/musicians-algorithmically-generate-every-possible-melody-release-them-to-public-domain,2,2020-4-26,
euro track modules,Modular audio generators,audio,https://github.com/pichenettes/eurorack,1,2020-4-26,
